quote,author,theme/tag,source,position,region,decade,gender
"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Success is not how high you have climbed, but how you make a positive difference to the world.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Be grateful for what you already have while you pursue your goals.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"It is a curious thing, Harry, but perhaps those who are best suited to power are those who have never sought it. Those who, like you, have leadership thrust upon them, and take up the mantle because they must, and find to their own surprise that they wear it well.",J.K. Rowling,leadership,Goodreads – leadership,Author,Europe,2000s,female
You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Let the improvement of yourself keep you so busy that you have no time to criticize others.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Listen with curiosity. Speak with honesty. Act with integrity. The greatest problem with communication is we don’t listen to understand. We listen to reply. When we listen with curiosity, we don’t listen with the intent to reply. We listen for what’s behind the words.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"To handle yourself, use your head; to handle others, use your heart.",Eleanor Roosevelt,leadership,Goodreads – leadership,First Lady,North America,1940s,female
"Always remember people who have helped you along the way, and don’t forget to lift someone up.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,William Arthur Ward,leadership,Goodreads – leadership,Author,North America,1950s,male
"If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"If you want to rebel, rebel from inside the system.That's much more powerful than rebelling outside the system.",Marie Lu,leadership,Goodreads – leadership,Author,North America,2010s,female
"I don't care if you're black, white, straight, bisexual, gay, lesbian, short, tall, fat, skinny, rich or poor. If you're nice to me, I'll be nice to you. Simple as that.",Robert Michaels MD - 2007 - Graduation Speaker,leadership,Goodreads – leadership,Speaker,North America,2000s,male
Our chief want is someone who will inspire us to be what we know we could be.,Ralph Waldo Emerson,leadership,Goodreads – leadership,Philosopher,North America,1850s,male
It's hard to lead a cavalry charge if you think you look funny on a horse.,Adlai E. Stevenson,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Keep your fears to yourself, but share your courage with others.",Robert Louis Stevenson,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Don't follow the crowd, let the crowd follow you.",Margaret Thatcher,leadership,Goodreads – leadership,Prime Minister,Europe,1980s,female
"You have to be burning with an idea, or a problem, or a wrong that you want to right. If you're not passionate enough from the start, you'll never stick it out.",Steve Jobs,leadership,Goodreads – leadership,Entrepreneur,North America,2000s,male
"Great leaders create more leaders, not followers.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
The greatest leader is not necessarily the one who does the greatest things. He is the one that gets the people to do the greatest things.,Ronald Reagan,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"If you want to build a ship, don’t drum up the men to gather wood, divide the work, and give orders. Instead, teach them to yearn for the vast and endless sea.",Antoine de Saint-Exupéry,leadership,Goodreads – leadership,Author,Europe,1940s,male
Rejection is an opportunity for your selection.,Bernard Branson,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Leadership is not about titles, positions or flowcharts. It is about one life influencing another.",John Maxwell,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"If your actions create a legacy that inspires others to dream more, learn more, do more and become more, then, you are an excellent leader.",Dolly Parton,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
What you stay focused on will grow.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"I have three precious things which I hold fast and prize. The first is gentleness; the second is frugality; the third is humility, which keeps me from putting myself before others. Be gentle and you can be bold; be frugal and you can be liberal; avoid putting yourself before others and you can become a leader among men.",Lao Tzu,leadership,Goodreads – leadership,Philosopher,Asia,-500s,male
"Don’t waste your energy trying to educate or change opinions; go over, under, through, and opinions will change organically when you’re the boss. Or they won’t. Who cares? Do your thing, and don’t care if they like it.",Tina Fey,leadership,Goodreads – leadership,Comedian,North America,2010s,female
"Power isn’t control at all — power is strength, and giving that strength to others. A leader isn’t someone who forces others to make him stronger; a leader is someone willing to give his strength to others that they may have the strength to stand on their own.",Beth Revis,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Management is doing things right; leadership is doing the right things.,Peter Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
7 Effective Ways to Make Others Feel Important,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Good people see the good and bring out the best in other people.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Only one man in a thousand is a leader of men -- the other 999 follow women.,Groucho Marx,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
...A man can only stumble for so long before he either falls or stands up straight.,Brandon Sanderson,leadership,Goodreads – leadership,Author,North America,2020s,male
Choose your leaders,Octavia E. Butler,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Don't tell people how to do things, tell them what to do and let them surprise you with their results.",George S. Patton,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
We sainted St. Tammany (King Tamanend III) because he embodied moral perfection and every divine qualification that a deity could possess. I hold him in higher esteem than the saints of the Roman Catholic Church. He'll forever be the patron saint of America.,George Washington,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
One of the best ways to influence people is to make them feel important.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
